sku,category,reviews_count,,sku,category,average_rating,,,
FZ1700,Shoes,7291,,FZ1700,Shoes,4.7,,,
GZ7040,Shoes,1891,,GZ7040,Shoes,4.7,,,
GZ1013,Shoes,5815,,GZ1013,Shoes,4.5,,,
EY1181,Accessories,12,,EY1181,Accessories,4.8,,,
GV9714,Shoes,7291,,GV9714,Shoes,4.7,,,
GV7149,Shoes,838,,GV7149,Shoes,4.7,,,
GZ1008,Shoes,5815,,GZ1008,Shoes,4.5,,,
GR4111,Clothing,78,,GR4111,Clothing,4.6,,,
GV9713,Shoes,7291,,GV9713,Shoes,4.7,,,
GX1024,Shoes,1891,,GX1024,Shoes,4.7,,,
GZ2792,Shoes,619,,GZ2792,Shoes,4.6,,,
GZ7039,Shoes,1891,,GZ7039,Shoes,4.7,,,
GU1737,Accessories,28,,GU1737,Accessories,4.9,,,
GU0074,Accessories,5,,GU0074,Accessories,4.8,,,
FY4553,Shoes,449,,FY4553,Shoes,4.5,,,
GU3145,Accessories,3,,GU3145,Accessories,5,,,
EF0211,Shoes,545,,EF0211,Shoes,4.8,,,
GU0870,Accessories,28,,GU0870,Accessories,4.9,,,
H04260,Shoes,332,,H04260,Shoes,4.8,,,
H05006,Shoes,449,,H05006,Shoes,4.5,,,
GZ8656,Shoes,1050,,GZ8656,Shoes,4.6,,,
H04259,Shoes,332,,H04259,Shoes,4.8,,,
FY8103,Shoes,2274,,FY8103,Shoes,4.6,,,
GZ7610,Shoes,463,,GZ7610,Shoes,4.8,,,
FY8107,Shoes,2274,,FY8107,Shoes,4.6,,,
FY8875,Shoes,545,,FY8875,Shoes,4.8,,,
H01063,Shoes,234,,H01063,Shoes,4.8,,,
GY4944,Shoes,491,,GY4944,Shoes,4.6,,,
EF1730,Shoes,5499,,EF1730,Shoes,4.5,,,
FY8106,Shoes,2274,,FY8106,Shoes,4.6,,,
H05007,Shoes,449,,H05007,Shoes,4.5,,,
FY4551,Shoes,449,,FY4551,Shoes,4.5,,,
